HSGPA,COURSE,GRADE,PASS,UNITS_ENROLLED,STANDARDIZED_TEST_SCORE,STEM_MAJOR,,,,,
3.88,PSY 110,B,1,15,550,0,,,,,
3.69,PSY 110,A,1,17,530,0,,,,,
3.24,PSY 110,D,0,15,570,0,,,,,
3.73,PSY 110,B,1,16,680,0,,,,,
4.03,PSY 110,A,1,15,620,0,,,,,
3.93,SOC 170,A,1,15,540,0,,,,,
2.84,SOC 170,C,1,16,530,0,,,,,
3.17,SOC 170,B,1,15,590,0,,,,,
3.87,SOC 170,A,1,15,530,0,,,,,
3.15,SOC 170,A,1,15,630,0,,,,,
3.09,SOC 170,C,1,16,470,0,,,,,
3.15,SOC 170,C,1,16,530,0,,,,,
4.06,SOC 170,A,1,15,610,0,,,,,
3.46,SOC 170,A,1,12,540,0,,,,,
3.12,SOC 170,C,1,16,540,0,,,,,
3,SOC 170,B,1,15,520,0,,,,,
4.03,SOC 170,B,1,16,540,0,,,,,
3.75,SOC 170,A,1,14,650,0,,,,,
3.45,SOC 170,D,0,19,530,1,,,,,
3.28,SOC 170,C,1,15,550,0,,,,,
3.66,SOC 170,B,1,15,590,0,,,,,
3.21,SOC 170,B,1,16,530,0,,,,,
3.91,SOC 170,A,1,12,530,0,,,,,
3.53,SOC 170,D,0,15,460,0,,,,,
4.09,SOC 170,A,1,16,580,0,,,,,
4.16,SOC 170,B,1,16,550,1,,,,,
3.93,SOC 170,B,1,15,540,0,,,,,
4.08,SOC 170,B,1,15,570,0,,,,,
3.5,SOC 170,A,1,18,570,0,,,,,
4,SOC 170,A,1,16,550,0,,,,,
3.2,SOC 170,B,1,16,490,0,,,,,
3.76,SOC 170,A,1,16,590,0,,,,,
3.43,SOC 170,A,1,16,480,0,,,,,
3.44,SOC 170,C,1,16,520,0,,,,,
3.18,SOC 170,D,0,14,490,0,,,,,
3.56,SOC 170,B,1,16,500,0,,,,,
3.56,SOC 170,B,1,16,500,0,,,,,
3.16,SOC 170,A,1,15,600,0,,,,,
3.03,SOC 170,A,1,15,570,1,,,,,
2.95,SOC 170,A,1,15,620,0,,,,,
4.05,SOC 170,A,1,15,570,0,,,,,
3.23,SOC 170,A,1,15,520,0,,,,,
3.43,SOC 170,C,1,15,490,0,,,,,
3.45,SOC 170,C,1,15,520,0,,,,,
3.71,SOC 170,B,1,17,590,1,,,,,
3.75,SOC 170,C,1,16,600,0,,,,,
3.83,SOC 170,A,1,16,540,0,,,,,
3.96,SOC 170,A,1,16,630,0,,,,,
3.67,SOC 170,B,1,16,600,0,,,,,
3.76,SOC 170,B,1,16,450,0,,,,,
3.33,SOC 170,A,1,15,630,0,,,,,
3,SOC 170,D,0,16,490,0,,,,,
3.76,SOC 170,B,1,15,520,0,,,,,
3.61,SOC 170,B,1,16,600,0,,,,,
3.43,SOC 170,B,1,16,480,0,,,,,
4.03,SOC 170,A,1,15,610,0,,,,,
3.42,SOC 170,A,1,16,510,0,,,,,
3.36,SOC 170,C,1,16,480,0,,,,,
2.96,SOC 170,B,1,16,620,0,,,,,
2.64,SOC 170,C,1,15,560,0,,,,,
3.96,SOC 170,A,1,15,630,1,,,,,
3.28,SOC 170,B,1,16,570,0,,,,,
2.92,SOC 170,B,1,16,510,0,,,,,
3.66,SOC 170,A,1,15,670,0,,,,,
4.05,SOC 170,A,1,16,520,0,,,,,
3.77,SOC 170,A,1,16,590,0,,,,,
3.41,SOC 170,B,1,15,530,0,,,,,
3.63,SOC 170,A,1,15,640,0,,,,,
3.54,SOC 170,B,1,16,520,0,,,,,
4.03,SOC 170,A,1,15,500,0,,,,,
3.78,SOC 170,B,1,13,510,1,,,,,
3.05,SOC 170,B,1,16,570,0,,,,,
3.76,SOC 170,A,1,16,570,0,,,,,
3.97,SOC 170,A,1,15,540,0,,,,,
3.86,SOC 170,A,1,16,560,0,,,,,
4.04,SOC 170,B,1,16,560,0,,,,,
2.9,SOC 170,A,1,15,690,0,,,,,
3.64,SOC 170,C,1,16,590,0,,,,,
3.22,SOC 170,C,1,15,550,0,,,,,
3.25,SOC 170,F,0,15,530,0,,,,,
2.96,SOC 170,B,1,16,590,0,,,,,
