HSGPA,COURSE,GRADE,PASS,UNITS_ENROLLED,STANDARDIZED_TEST_SCORE,STEM_MAJOR,,,,,
3.94,STAT 108,A,1,15,620,1,,,,,
3.58,STAT 108,F,0,15,480,1,,,,,
3.25,STAT 108,F,0,15,510,0,,,,,
4.02,STAT 108,A,1,12,660,1,,,,,
3.9,STAT 108,B,1,16,530,0,,,,,
3.42,STAT 108,B,1,15,520,0,,,,,
3.73,STAT 108,B,1,15,590,0,,,,,
3.88,STAT 108,B,1,16,560,0,,,,,
3.11,STAT 108,C,1,15,560,0,,,,,
3.77,STAT 108,A,1,15,600,1,,,,,
3.21,STAT 108,C,1,15,460,0,,,,,
3.78,STAT 108,B,1,15,580,0,,,,,
3.76,STAT 108,B,1,12,660,1,,,,,
4.1,STAT 108,A,1,15,660,0,,,,,
3.36,STAT 108,B,1,15,500,0,,,,,
3.36,STAT 108,B,1,15,500,0,,,,,
3.43,STAT 108,A,1,15,600,0,,,,,
3.81,STAT 108,B,1,14,650,1,,,,,
3.7,STAT 108,A,1,12,710,1,,,,,
3.73,STAT 108,B,1,15,680,0,,,,,
3.73,STAT 108,B,1,12,730,1,,,,,
3.73,STAT 108,W,0,15,530,1,,,,,
3.75,STAT 108,B,1,15,560,0,,,,,
3.94,STAT 108,A,1,15,590,1,,,,,
3.75,STAT 108,A,1,12,680,1,,,,,
3.61,STAT 108,C,1,15,640,0,,,,,
3.7,STAT 108,A,1,15,670,1,,,,,
2.65,STAT 108,W,0,12,540,0,,,,,
3.7,STAT 108,C,1,15,510,0,,,,,
3.58,STAT 108,C,1,15,400,0,,,,,
3.9,STAT 108,B,1,12,680,0,,,,,
3.28,STAT 108,W,0,12,580,1,,,,,
3.94,STAT 108,B,1,15,600,1,,,,,
3.13,STAT 108,F,0,15,490,0,,,,,
3.84,STAT 108,B,1,15,640,1,,,,,
3.67,STAT 108,B,1,16,800,1,,,,,
3.97,STAT 108,B,1,15,550,0,,,,,
3.75,STAT 108,W,0,15,610,0,,,,,
3.08,STAT 108,C,1,15,530,0,,,,,
3.4,STAT 108,C,1,15,590,0,,,,,
3.57,STAT 108,A,1,15,660,0,,,,,
3.74,STAT 108,F,0,15,530,0,,,,,
3.73,STAT 108,D,0,15,520,0,,,,,
4.03,STAT 108,A,1,15,590,1,,,,,
3.6,STAT 108,B,1,15,540,0,,,,,
4.09,STAT 108,A,1,15,600,1,,,,,
3.36,STAT 108,W,0,12,690,1,,,,,
3.62,STAT 108,C,1,12,620,0,,,,,
4.02,STAT 108,B,1,15,590,1,,,,,
3.89,STAT 108,W,0,15,530,0,,,,,
3.9,STAT 108,A,1,15,730,1,,,,,
4.11,STAT 108,C,1,15,590,0,,,,,
4.03,STAT 108,A,1,15,680,1,,,,,
3.2,STAT 108,F,0,15,520,0,,,,,
3.51,STAT 108,D,0,15,530,1,,,,,
4.03,STAT 108,A,1,15,620,1,,,,,
3.6,STAT 108,A,1,15,700,0,,,,,
3.53,STAT 108,W,0,15,550,0,,,,,
3.45,STAT 108,B,1,12,570,0,,,,,
3.84,STAT 108,B,1,16,580,1,,,,,
3.63,STAT 108,B,1,15,640,0,,,,,
3.55,STAT 108,B,1,15,590,0,,,,,
3.97,STAT 108,C,1,15,620,0,,,,,
3.79,STAT 108,B,1,15,610,0,,,,,
4.12,STAT 108,B,1,15,650,0,,,,,
3.4,STAT 108,B,1,15,520,0,,,,,
3.78,STAT 108,B,1,15,620,1,,,,,
3.96,STAT 108,B,1,13,640,1,,,,,
3.23,STAT 108,C,1,16,530,0,,,,,
3.36,STAT 108,C,1,15,520,0,,,,,
3.93,STAT 108,A,1,12,620,1,,,,,
3.33,STAT 108,W,0,15,710,1,,,,,
2.54,STAT 108,B,1,16,600,1,,,,,
3.18,STAT 108,D,0,14,360,0,,,,,
3.75,STAT 108,A,1,15,700,1,,,,,
3.37,STAT 108,W,0,15,600,0,,,,,
2.91,STAT 108,B,1,15,600,0,,,,,
3.61,STAT 108,A,1,15,710,0,,,,,
3.91,STAT 108,C,1,15,660,1,,,,,
3.32,STAT 108,C,1,12,640,0,,,,,
3.6,STAT 108,C,1,15,500,1,,,,,
3.6,STAT 108,C,1,15,500,1,,,,,
3.75,STAT 108,B,1,15,670,0,,,,,
3.67,STAT 108,F,0,15,460,0,,,,,
3.47,STAT 108,F,0,15,540,0,,,,,
3.25,STAT 108,C,1,16,520,0,,,,,
3.7,STAT 108,C,1,12,610,1,,,,,
3.43,STAT 108,C,1,15,540,0,,,,,
3.69,STAT 108,D,0,15,540,0,,,,,
3.43,STAT 108,B,1,15,620,0,,,,,
3.34,STAT 108,C,1,12,520,0,,,,,
4.03,STAT 108,A,1,16,540,1,,,,,
3.93,STAT 108,B,1,15,590,0,,,,,
2.89,STAT 108,A,1,15,570,0,,,,,
3.57,STAT 108,F,0,15,610,0,,,,,
3.7,STAT 108,A,1,16,580,0,,,,,
3.33,STAT 108,F,0,15,530,0,,,,,
3.07,STAT 108,C,1,15,750,1,,,,,
2.7,STAT 108,F,0,15,480,0,,,,,
3.37,STAT 108,W,0,15,640,1,,,,,
3.35,STAT 108,B,1,15,550,1,,,,,
3.37,STAT 108,A,1,15,650,0,,,,,
3.97,STAT 108,A,1,15,610,1,,,,,
3.97,STAT 108,A,1,13,620,1,,,,,
3.82,STAT 108,B,1,15,570,0,,,,,
4.24,STAT 108,A,1,13,620,1,,,,,
3.75,STAT 108,W,0,15,550,0,,,,,
3.8,STAT 108,D,0,12,590,1,,,,,
4.08,STAT 108,B,1,15,620,0,,,,,
3.46,STAT 108,F,0,15,540,0,,,,,
3.5,STAT 108,A,1,12,720,1,,,,,
3.1,STAT 108,C,1,18,680,0,,,,,
3.58,STAT 108,C,1,15,520,0,,,,,
3.46,STAT 108,C,1,16,540,0,,,,,
3.85,STAT 108,B,1,12,690,1,,,,,
2.91,STAT 108,F,0,15,550,1,,,,,
3.66,STAT 108,A,1,15,640,0,,,,,
3,STAT 108,F,0,15,590,0,,,,,
3.7,STAT 108,A,1,12,680,1,,,,,
2.9,STAT 108,F,0,21,550,0,,,,,
2.82,STAT 108,W,0,15,540,0,,,,,
3.61,STAT 108,A,1,15,760,1,,,,,
3.97,STAT 108,B,1,15,500,0,,,,,
3.83,STAT 108,W,0,30,660,1,,,,,
3.72,STAT 108,C,1,15,550,0,,,,,
4,STAT 108,F,0,17,,1,,,,,
3.6,STAT 108,C,1,15,,0,,,,,
3.438,STAT 118,A,1,12,,0,,,,,
3.4,STAT 118,F,0,12,500,0,,,,,
3.563,STAT 118,C,1,12,,0,,,,,
3.1,STAT 118,A,1,13,,0,,,,,
3.31,STAT 118,B,1,15,580,0,,,,,
2.92,STAT 118,F,0,15,490,0,,,,,
2.92,STAT 118,F,0,15,490,0,,,,,
3,STAT 118,WE,0,15,660,0,,,,,
3.22,STAT 118,F,0,15,520,0,,,,,
3.78,STAT 118,C,1,15,550,0,,,,,
4.03,STAT 118,D,0,15,640,0,,,,,
3.13,STAT 118,C,1,15,630,0,,,,,
3.73,STAT 118,B,1,15,650,0,,,,,
3.28,STAT 118,A,1,12,,0,,,,,
3.33,STAT 118,F,0,15,520,0,,,,,
3.045,STAT 118,D,0,12,,0,,,,,
4.28,STAT 118,B,1,15,570,0,,,,,
3.83,STAT 118,B,1,12,620,0,,,,,
3.13,STAT 118,W,0,15,520,0,,,,,
3.13,STAT 118,W,0,15,520,0,,,,,
3.92,STAT 118,A,1,15,630,0,,,,,
3.85,STAT 118,A,1,12,630,0,,,,,
3,STAT 118,D,0,14,450,0,,,,,
4.08,STAT 118,B,1,15,550,0,,,,,
3.83,STAT 118,A,1,15,660,0,,,,,
4.25,STAT 118,A,1,15,540,0,,,,,
3.28,STAT 118,B,1,15,610,0,,,,,
3.3,STAT 118,B,1,16,520,0,,,,,
3.07,STAT 118,W,0,15,420,0,,,,,
3.1,STAT 118,C,1,14,570,0,,,,,
3.05,STAT 118,C,1,15,470,0,,,,,
3.93,STAT 118,F,0,15,630,0,,,,,
3.81,STAT 118,F,0,12,590,0,,,,,
3.96,STAT 118,B,1,15,600,0,,,,,
3.72,STAT 118,B,1,15,700,0,,,,,
3.21,STAT 118,F,0,15,580,0,,,,,
3,STAT 118,F,0,16,620,0,,,,,
3.7,STAT 118,B,1,15,660,0,,,,,
3.51,STAT 118,B,1,15,660,0,,,,,
3.96,STAT 118,B,1,15,660,0,,,,,
3.82,STAT 118,A,1,15,600,0,,,,,
3.09,STAT 118,D,0,15,570,0,,,,,
3.56,STAT 118,B,1,15,640,0,,,,,
3.4,STAT 118,C,1,15,560,0,,,,,
4.25,STAT 118,A,1,15,700,0,,,,,
3.67,STAT 118,B,1,15,580,0,,,,,
4.06,STAT 118,A,1,12,520,0,,,,,
4,STAT 118,W,0,15,610,0,,,,,
3.88,STAT 118,A,1,16,690,0,,,,,
4.03,STAT 118,B,1,12,650,0,,,,,
4.06,STAT 118,B,1,15,620,0,,,,,
4,STAT 118,A,1,15,620,1,,,,,
3.12,STAT 118,B,1,15,580,0,,,,,
3.8,STAT 118,C,1,15,570,1,,,,,
4.02,STAT 118,A,1,15,570,0,,,,,
3.67,STAT 118,W,0,14,520,0,,,,,
3.73,STAT 118,C,1,15,710,1,,,,,
3.46,STAT 118,W,0,15,700,0,,,,,
3.16,STAT 118,F,0,13,580,0,,,,,
3.8,STAT 118,A,1,15,540,0,,,,,
3.4,STAT 118,D,0,15,510,0,,,,,
3.94,STAT 118,C,1,15,500,0,,,,,
3.51,STAT 118,A,1,14,490,0,,,,,
4.17,STAT 118,B,1,15,680,0,,,,,
3.97,STAT 118,A,1,15,690,0,,,,,
2.91,STAT 118,F,0,12,480,0,,,,,
3.65,STAT 118,B,1,15,540,0,,,,,
3.21,STAT 118,C,1,15,580,0,,,,,
3.134,STAT 118,A,1,15,,0,,,,,
3.5,STAT 118,A,1,12,690,0,,,,,
3.88,STAT 118,C,1,15,560,0,,,,,
3.34,STAT 118,F,0,15,620,0,,,,,
3.8,STAT 118,F,0,15,650,0,,,,,
3.86,STAT 118,A,1,15,690,1,,,,,
3.25,STAT 118,D,0,13,600,1,,,,,
3.79,STAT 118,B,1,15,640,0,,,,,
3.71,STAT 118,A,1,15,710,0,,,,,
3.34,STAT 118,D,0,15,550,0,,,,,
3.39,STAT 118,D,0,15,550,0,,,,,
4,STAT 118,B,1,15,690,0,,,,,
3.48,STAT 118,F,0,15,580,0,,,,,
3.3,STAT 118,B,1,15,530,0,,,,,
3.61,STAT 118,A,1,12,710,0,,,,,
3.75,STAT 118,A,1,15,720,1,,,,,
3.18,STAT 118,F,0,15,540,0,,,,,
3.37,STAT 118,C,1,15,520,0,,,,,
3.66,STAT 118,B,1,15,540,0,,,,,
3,STAT 118,B,1,15,580,0,,,,,
3.65,STAT 118,C,1,15,560,0,,,,,
2.7,STAT 118,F,0,12,600,0,,,,,
3.96,STAT 118,A,1,15,610,0,,,,,
3.66,STAT 118,C,1,15,620,0,,,,,
3.75,STAT 118,W,0,12,620,0,,,,,
3.22,STAT 118,B,1,15,780,1,,,,,
2.84,STAT 118,W,0,12,550,0,,,,,
2.82,STAT 118,F,0,15,560,0,,,,,
3.03,STAT 118,C,1,15,590,0,,,,,
3.06,STAT 118,D,0,15,540,0,,,,,
2.62,STAT 118,F,0,15,570,0,,,,,
3.43,STAT 118,F,0,15,530,0,,,,,
3.48,STAT 118,B,1,15,700,0,,,,,
3.14,STAT 118,B,1,16,610,0,,,,,
3.56,STAT 118,A,1,16,540,0,,,,,
3.26,STAT 118,F,0,12,450,0,,,,,
3.97,STAT 118,A,1,16,680,0,,,,,
3.19,STAT 118,F,0,13,590,0,,,,,
3.75,STAT 118,W,0,13,650,1,,,,,
3.63,STAT 118,C,1,18,670,0,,,,,
3.4,STAT 118,C,1,15,520,0,,,,,
2.78,STAT 118,F,0,15,550,0,,,,,
2.65,STAT 118,F,0,16,560,0,,,,,
3.72,STAT 118,A,1,15,590,0,,,,,
3.375,STAT 118,A,1,15,,0,,,,,
3.36,STAT 118,F,0,15,,0,,,,,
3.2,STAT 118,A,1,12,,0,,,,,
